StateName,StateFIPS,PUMA,Counties Within PUMA,PumaState,uninsured_total,uninsured_percent,FoodStamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,138PctFPL_or_Less,139to400PctFPL,Above400PctFPL,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,HawaiiPacIslander,AmericanIndian_AlaskaNative,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,Job_Agriculture,Job_Mining,Job_ManufacturingConstruction,Job_Trade,Job_InfoFinance,Job_EducHealth,Job_Entertainment,Job_Service,Job_MilitaryPublic,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,Chinese,Korean,Vietnamese,Tagalog,Russian,OtherLang,SpeaksMostCommonOthLang,OtherLanguage
Florida,12,2606,Pinellas County (part),1202606,26987,28.1,33.5,6.6,16.5,27.5%,30.7%,18.7%,46.4%,45.8%,7.8%,52.8%,47.2%,19.9%,21.7%,12.9%,72.0%,4.1%,9.3%,0.0%,0.0%,1.6%,5.0%,70.7%,1.3%,5.3%,10.8%,12.2%,18.8%,10.9%,12.8%,7.2%,1.7%,17.6%,71.7%,10.7%,7.8%,87.3,6.7,0.0,0.0,4.0,0.0,0.0,2.1,0.5,Hindi
Florida,12,2607,Pinellas County (part),1202607,22535,22.5,34.8,10.5,15.0,23.2%,41.9%,9.4%,49.0%,44.9%,6.1%,57.0%,43.0%,14.0%,25.8%,5.0%,48.3%,41.1%,0.6%,2.3%,0.0%,2.8%,10.2%,75.4%,0.0%,6.9%,3.2%,15.5%,17.4%,12.7%,20.6%,5.2%,2.3%,17.9%,73.3%,8.9%,1.9%,97.9,1.7,0.0,0.0,0.0,0.1,0.0,0.3,0.0,**
Florida,12,2608,Pinellas County (part),1202608,20676,22.6,25.7,6.2,21.3,16.5%,43.2%,12.8%,48.4%,44.8%,6.9%,50.1%,49.9%,25.4%,18.6%,10.1%,70.4%,18.2%,0.8%,0.0%,0.0%,0.4%,5.8%,79.5%,0.7%,7.9%,1.9%,16.6%,16.4%,13.0%,15.8%,11.1%,3.5%,12.0%,76.1%,11.9%,2.3%,96.8,2.7,0.2,0.0,0.0,0.0,0.0,0.2,0.0,**
Florida,12,2701,Hillsborough County (part),1202701,29495,25.2,38.6,14.3,23.6,18.8%,30.0%,13.3%,60.2%,35.7%,4.1%,50.5%,49.5%,16.4%,27.0%,27.4%,29.1%,42.7%,0.1%,0.0%,0.2%,0.5%,9.7%,70.7%,0.5%,6.6%,3.2%,18.3%,11.9%,11.5%,17.5%,5.6%,3.1%,20.0%,71.9%,8.1%,3.8%,93.4,5.8,0.0,0.0,0.1,0.0,0.0,0.7,0.7,French Creole
Florida,12,2702,Hillsborough County (part),1202702,25875,17.8,24.3,14.7,16.4,22.9%,35.7%,10.3%,45.2%,40.5%,14.3%,59.6%,40.4%,18.5%,21.0%,29.3%,42.5%,21.3%,4.9%,0.2%,0.1%,1.7%,6.2%,79.8%,0.0%,5.8%,1.8%,17.7%,14.9%,9.1%,20.4%,7.6%,2.2%,13.5%,69.3%,17.2%,5.8%,88.3,9.0,0.0,0.2,0.0,0.0,0.2,2.3,0.5,Thai
Florida,12,2703,Hillsborough County (part),1202703,17567,13.8,27.1,11.7,19.9,21.6%,35.4%,11.5%,48.2%,36.5%,15.4%,54.4%,45.6%,31.7%,30.6%,45.8%,39.5%,5.8%,8.2%,0.0%,0.0%,0.8%,3.1%,77.2%,0.6%,2.6%,5.4%,21.3%,18.1%,12.9%,11.4%,7.5%,8.0%,14.4%,68.1%,17.5%,17.4%,74.4,21.2,0.0,1.2,2.7,0.0,0.0,0.5,0.5,Bulgarian
Florida,12,2704,Hillsborough County (part),1202704,25059,20.2,32.4,9.2,13.2,24.5%,40.7%,12.4%,44.3%,48.7%,7.0%,56.1%,43.9%,31.4%,29.5%,45.6%,40.7%,4.6%,5.4%,0.9%,0.5%,2.4%,9.9%,75.6%,0.0%,4.0%,2.8%,16.5%,22.6%,14.6%,12.2%,7.0%,1.0%,10.1%,70.6%,19.3%,16.4%,76.0,20.9,0.3,0.6,1.6,0.0,0.0,0.6,0.0,**
Florida,12,2705,Hillsborough County (part),1202705,25417,18.5,26.8,15.7,26.3,18.0%,35.5%,4.4%,56.3%,40.2%,3.5%,46.2%,53.8%,27.0%,39.1%,20.9%,39.0%,29.0%,3.8%,0.2%,0.1%,7.1%,7.2%,77.8%,0.7%,4.6%,4.5%,14.9%,15.8%,9.9%,14.6%,4.8%,6.7%,20.9%,66.0%,13.1%,10.5%,83.6,11.4,1.3,0.0,0.0,0.0,0.0,3.7,1.4,Arabic
Florida,12,2706,Hillsborough County (part),1202706,25149,23.6,38.6,21.1,20.0,14.6%,35.9%,8.4%,49.8%,41.7%,8.5%,56.5%,43.5%,32.5%,43.0%,44.3%,46.5%,7.7%,0.0%,0.0%,0.0%,1.5%,6.6%,82.2%,9.1%,6.3%,6.0%,14.0%,11.7%,6.0%,8.7%,7.2%,1.4%,40.0%,55.1%,4.9%,23.3%,75.4,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,**
Florida,12,2707,Hillsborough County (part),1202707,36936,22.5,21.4,12.2,21.6,15.7%,41.8%,8.7%,44.2%,46.6%,9.2%,55.2%,44.8%,26.1%,30.7%,30.6%,39.5%,23.5%,2.2%,0.3%,0.2%,3.6%,6.5%,78.1%,0.7%,7.9%,1.7%,17.3%,14.9%,11.7%,15.8%,4.4%,2.7%,11.7%,76.0%,12.4%,4.8%,91.7,7.4,0.3,0.0,0.0,0.0,0.0,0.6,0.0,**
Florida,12,2708,Hillsborough County (part),1202708,24248,16.2,22.8,10.5,11.9,23.4%,41.2%,13.0%,46.4%,45.7%,7.9%,56.7%,43.3%,31.4%,32.6%,36.2%,49.5%,8.3%,4.0%,0.0%,0.2%,1.9%,8.5%,71.7%,8.9%,10.8%,3.7%,13.2%,13.3%,7.3%,5.6%,9.3%,2.7%,26.5%,62.7%,10.7%,9.1%,81.0,15.3,0.0,0.0,2.2,0.2,0.0,1.3,1.0,Urdu
Florida,12,2801,Manatee County (part),1202801,25408,24.9,25.0,14.5,18.5,19.2%,34.5%,13.2%,48.2%,41.6%,10.1%,56.2%,43.8%,28.1%,36.9%,24.1%,50.5%,21.5%,2.2%,0.0%,0.0%,1.8%,4.1%,79.9%,1.5%,11.1%,3.7%,13.5%,13.8%,8.6%,17.3%,5.0%,2.4%,27.8%,63.9%,8.3%,12.1%,83.6,11.9,0.0,0.0,0.5,0.0,0.0,4.0,3.5,French Creole
Florida,12,2802,Manatee County (part),1202802,33626,24.3,23.1,19.5,12.9,13.5%,42.2%,11.9%,49.5%,38.1%,12.4%,53.5%,46.5%,33.8%,40.6%,33.4%,59.9%,5.0%,0.8%,0.0%,0.5%,0.4%,9.6%,71.1%,2.2%,9.2%,4.6%,18.9%,18.7%,4.6%,3.4%,6.0%,0.5%,24.7%,67.2%,8.1%,8.9%,88.5,10.1,0.0,0.0,0.0,0.0,0.0,1.5,0.0,**
Florida,12,2901,Sarasota County (part),1202901,30995,24.9,21.3,9.7,16.7,19.2%,38.6%,15.8%,40.0%,47.8%,12.2%,56.2%,43.8%,29.1%,28.9%,15.5%,72.8%,6.0%,3.9%,0.0%,0.0%,1.8%,5.6%,83.9%,0.0%,9.3%,1.6%,17.5%,17.5%,10.3%,21.0%,6.6%,1.7%,11.2%,76.9%,11.9%,9.3%,87.1,10.1,0.6,0.0,0.5,0.0,0.3,1.4,0.6,French Creole
Florida,12,2902,Sarasota County (part),1202902,26135,20.5,20.6,16.4,15.6,9.3%,41.1%,17.7%,41.6%,44.1%,14.3%,51.8%,48.2%,27.8%,33.7%,16.3%,77.8%,4.4%,0.0%,0.3%,0.3%,0.9%,8.9%,75.3%,0.1%,8.5%,2.2%,14.7%,13.6%,12.0%,15.3%,5.5%,5.7%,10.5%,76.5%,13.0%,3.3%,94.8,2.6,0.0,0.0,0.0,0.0,1.1,1.5,0.7,French Creole
Florida,12,3000,Charlotte County,1203000,26239,25.7,21.9,14.2,8.0,22.9%,32.6%,22.2%,50.7%,33.9%,15.3%,50.9%,49.1%,31.7%,33.6%,9.3%,79.3%,5.6%,3.2%,0.0%,0.3%,2.3%,12.8%,73.4%,0.8%,8.5%,2.3%,19.5%,11.8%,7.6%,19.5%,2.4%,6.9%,14.2%,73.3%,12.5%,3.3%,94.7,3.8,0.0,0.0,0.0,1.0,0.0,0.5,0.0,**
Florida,12,3100,"Highlands County, Hendry County, DeSoto County, Hardee County, Glades County",1203100,47620,30.9,32.5,17.1,16.7,17.8%,32.1%,16.3%,61.2%,36.0%,2.8%,62.4%,37.6%,24.1%,35.5%,38.5%,43.4%,15.6%,0.7%,0.0%,0.8%,0.9%,9.6%,64.4%,10.4%,7.6%,3.8%,11.1%,7.6%,5.9%,9.2%,3.1%,3.5%,33.6%,62.3%,4.1%,19.3%,77.4,22.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,**
Florida,12,3200,"Indian River County, Okeechobee County",1203200,30771,24.2,27.0,13.7,16.3,15.5%,39.3%,15.2%,63.3%,28.5%,8.1%,54.2%,45.8%,30.1%,37.2%,25.1%,64.1%,9.6%,1.2%,0.0%,0.0%,0.0%,7.7%,67.2%,2.9%,10.7%,4.0%,15.6%,15.4%,5.6%,10.3%,1.7%,3.1%,26.2%,62.7%,11.1%,13.6%,82.4,15.0,1.2,0.0,0.0,0.0,0.0,1.3,0.0,**
Florida,12,3300,St. Lucie County,1203300,65457,30.2,28.6,15.7,17.1,17.5%,36.9%,12.8%,55.2%,38.2%,6.6%,49.8%,50.2%,30.0%,37.3%,24.9%,55.7%,18.0%,0.9%,0.0%,0.1%,0.5%,6.7%,72.4%,1.6%,10.6%,1.0%,15.8%,14.7%,8.3%,12.0%,9.4%,4.5%,23.2%,67.9%,9.0%,10.9%,86.2,9.7,0.6,0.0,0.0,0.0,0.0,3.5,2.5,French Creole
Florida,12,3400,Martin County,1203400,21609,20.8,28.8,12.1,14.0,18.1%,40.9%,14.9%,59.9%,32.4%,7.6%,61.8%,38.2%,27.5%,29.2%,28.7%,56.9%,13.0%,0.1%,0.0%,0.0%,1.3%,7.0%,74.7%,0.9%,11.7%,8.0%,13.2%,9.7%,4.1%,14.7%,4.1%,3.9%,17.9%,70.3%,11.7%,16.3%,81.9,16.4,0.0,0.0,0.0,0.1,0.0,1.6,0.5,Portuguese
Florida,12,3501,Palm Beach County (part),1203501,30247,19.0,19.3,17.4,12.4,19.2%,38.9%,12.1%,44.4%,42.4%,13.1%,48.0%,52.0%,23.2%,34.4%,11.6%,46.3%,36.4%,3.2%,0.0%,0.0%,2.6%,5.6%,72.9%,0.4%,10.7%,2.7%,13.4%,16.6%,10.9%,15.0%,3.0%,3.5%,14.4%,66.1%,19.5%,11.5%,86.1,5.1,0.8,0.0,0.0,0.1,0.0,7.9,5.4,French Creole
Florida,12,3502,Palm Beach County (part),1203502,37301,35.0,24.0,22.2,16.7,19.9%,32.4%,8.9%,51.0%,45.8%,3.2%,58.7%,41.3%,24.4%,44.3%,44.4%,21.9%,32.4%,0.5%,0.0%,0.2%,0.6%,1.8%,78.6%,0.4%,8.6%,4.4%,12.3%,13.6%,11.3%,13.2%,5.0%,2.9%,19.4%,65.9%,14.7%,17.8%,75.8,16.9,0.0,0.0,0.0,0.0,0.0,7.3,6.0,French Creole
Florida,12,3503,Palm Beach County (part),1203503,30006,31.7,22.9,19.3,16.8,17.4%,35.5%,10.9%,52.3%,45.6%,2.1%,58.0%,42.0%,25.1%,39.1%,59.9%,26.8%,10.9%,1.6%,0.3%,0.2%,0.3%,5.3%,77.7%,0.4%,11.6%,2.6%,18.8%,11.0%,6.2%,11.2%,9.4%,2.1%,27.7%,59.5%,12.8%,26.9%,65.5,30.7,0.0,0.0,0.0,0.0,0.0,3.8,2.1,French Creole
Florida,12,3504,Palm Beach County (part),1203504,25870,25.5,28.8,10.4,17.5,23.8%,40.0%,8.3%,48.0%,43.5%,8.5%,55.2%,44.8%,30.6%,38.0%,41.8%,32.9%,19.0%,1.6%,0.0%,0.0%,4.7%,2.7%,82.2%,1.1%,13.7%,2.2%,16.8%,21.1%,7.2%,10.2%,8.0%,2.8%,27.0%,59.7%,13.3%,21.4%,70.7,21.3,0.0,0.0,1.0,0.0,0.0,6.8,5.2,French Creole
Florida,12,3505,Palm Beach County (part),1203505,26040,24.3,15.9,18.8,17.2,18.4%,32.1%,13.4%,46.3%,41.9%,11.7%,51.0%,49.0%,28.5%,43.8%,14.6%,51.2%,29.7%,0.7%,0.0%,0.5%,3.2%,4.4%,82.9%,0.3%,7.5%,5.1%,15.4%,14.0%,6.8%,16.4%,7.0%,3.3%,13.0%,71.8%,15.2%,16.3%,79.7,7.3,0.0,0.0,0.0,0.0,0.2,12.8,11.6,French Creole
Florida,12,3506,Palm Beach County (part),1203506,14905,24.0,14.9,16.0,14.9,13.8%,33.7%,21.5%,43.6%,52.3%,4.1%,47.8%,52.2%,24.4%,32.6%,8.7%,52.6%,34.3%,0.8%,0.0%,1.4%,2.2%,7.0%,72.5%,0.5%,6.7%,1.4%,15.4%,16.5%,11.5%,13.0%,3.4%,2.5%,13.4%,68.7%,17.9%,6.3%,87.5,2.9,0.0,0.0,0.0,0.0,0.0,9.6,6.9,French Creole
Florida,12,3507,Palm Beach County (part),1203507,11787,14.9,11.3,14.0,11.8,19.8%,39.9%,14.4%,50.9%,36.7%,12.4%,54.4%,45.6%,17.5%,34.9%,24.2%,59.1%,14.1%,1.9%,0.0%,0.0%,0.7%,4.7%,68.3%,0.0%,6.8%,4.7%,20.3%,16.2%,15.8%,10.0%,6.8%,1.6%,7.6%,65.6%,26.8%,13.9%,86.7,11.1,0.0,0.0,0.0,0.5,0.0,1.7,0.5,Portuguese
Florida,12,3508,Palm Beach County (part),1203508,11190,14.8,8.0,18.6,12.9,19.1%,35.1%,14.3%,35.9%,42.6%,21.5%,56.5%,43.5%,42.7%,36.3%,24.0%,55.4%,11.7%,5.6%,0.0%,0.0%,3.3%,4.5%,86.2%,0.7%,7.9%,0.4%,15.1%,19.9%,7.4%,16.6%,8.7%,0.0%,11.4%,65.4%,23.2%,15.0%,76.7,7.6,0.2,0.0,0.0,0.0,0.0,15.5,7.0,Portuguese
Florida,12,3509,Palm Beach County (part),1203509,40781,20.7,20.5,15.4,17.4,23.5%,34.8%,8.9%,54.5%,34.4%,11.2%,57.1%,42.9%,35.2%,41.7%,29.1%,39.8%,25.1%,2.6%,0.0%,0.6%,2.9%,6.4%,69.2%,5.2%,7.6%,3.4%,14.1%,10.7%,10.5%,9.6%,8.5%,4.0%,15.4%,70.1%,14.5%,9.0%,84.9,8.2,0.0,0.0,0.0,0.0,0.0,6.9,5.7,French Creole
Florida,12,3601,Broward County (part),1203601,20978,16.6,12.4,14.8,12.9,19.6%,40.2%,12.5%,37.0%,49.2%,13.8%,48.9%,51.1%,38.1%,46.3%,23.6%,48.4%,22.2%,2.8%,0.0%,0.0%,3.0%,5.8%,83.7%,0.0%,4.3%,3.8%,22.5%,18.9%,11.0%,9.8%,6.6%,1.9%,6.8%,73.6%,19.6%,10.5%,78.7,10.2,0.2,0.4,0.0,0.0,0.2,10.3,4.6,French Creole
Florida,12,3602,Broward County (part),1203602,22926,25.5,16.1,15.6,18.1,19.7%,37.4%,9.3%,47.1%,42.4%,10.5%,54.6%,45.4%,25.9%,41.7%,27.1%,42.1%,24.7%,4.1%,0.0%,0.0%,1.9%,8.1%,82.8%,1.4%,9.5%,4.8%,9.0%,20.5%,12.6%,11.8%,4.3%,6.1%,8.5%,72.2%,19.3%,18.1%,81.3,11.0,0.7,0.0,0.7,0.0,0.0,6.4,4.9,French Creole
Florida,12,3603,Broward County (part),1203603,23444,30.4,26.4,16.9,18.2,17.9%,39.4%,7.5%,50.3%,47.8%,1.9%,50.7%,49.3%,27.6%,38.0%,27.0%,40.0%,30.1%,2.8%,0.0%,0.0%,0.1%,5.6%,83.8%,0.2%,9.1%,3.3%,18.4%,14.9%,14.8%,12.3%,5.6%,1.0%,11.9%,77.4%,10.7%,23.1%,68.9,9.5,0.0,0.0,0.0,0.0,0.0,21.6,9.2,Portuguese
Florida,12,3604,Broward County (part),1203604,24337,28.8,33.7,14.3,12.4,21.1%,37.2%,15.0%,54.9%,40.0%,5.1%,53.6%,46.4%,16.5%,28.9%,16.0%,46.9%,36.7%,0.0%,0.0%,0.0%,0.4%,14.8%,64.0%,0.2%,6.3%,4.2%,14.6%,14.6%,8.9%,10.5%,5.6%,2.7%,16.0%,66.6%,17.4%,9.0%,85.2,8.6,0.0,0.0,0.0,0.0,0.0,6.2,2.4,Portuguese
Florida,12,3605,Broward County (part),1203605,31723,28.0,29.8,12.7,16.0,20.2%,35.1%,15.9%,60.2%,29.5%,10.3%,59.0%,41.0%,19.8%,28.8%,22.9%,34.7%,38.3%,0.0%,0.0%,3.0%,1.2%,8.2%,70.7%,0.1%,8.7%,4.1%,14.5%,16.5%,8.3%,14.7%,6.3%,5.5%,17.8%,70.1%,12.2%,13.7%,82.1,10.2,0.0,0.0,0.0,0.0,0.0,7.7,3.7,French Creole
Florida,12,3606,Broward County (part),1203606,40515,29.6,27.1,14.3,17.8,17.0%,38.9%,12.0%,56.7%,36.7%,6.6%,52.9%,47.1%,26.2%,42.2%,30.3%,23.6%,43.4%,1.4%,0.0%,0.0%,1.3%,9.8%,77.1%,0.2%,10.6%,4.4%,12.8%,13.6%,11.3%,15.0%,6.6%,5.0%,14.1%,76.0%,9.9%,17.0%,79.1,13.1,0.6,0.2,0.0,0.0,0.2,6.9,6.0,French Creole
Florida,12,3607,Broward County (part),1203607,23612,25.3,26.9,17.9,15.0,15.6%,37.6%,13.9%,45.7%,40.2%,14.1%,47.6%,52.4%,29.4%,43.1%,19.2%,6.4%,68.7%,5.3%,0.0%,0.0%,0.4%,5.2%,80.5%,0.0%,9.6%,2.7%,14.5%,12.5%,13.5%,13.6%,6.7%,5.7%,12.2%,71.4%,16.4%,9.2%,80.9,8.3,0.0,0.0,0.0,0.0,0.0,10.9,10.2,French Creole
Florida,12,3608,Broward County (part),1203608,23203,19.9,31.4,12.3,14.8,19.6%,35.5%,17.7%,51.1%,39.7%,9.3%,44.8%,55.2%,30.2%,31.7%,35.8%,24.1%,33.3%,6.8%,0.0%,0.0%,0.0%,5.3%,78.3%,0.7%,6.3%,2.6%,17.2%,17.7%,15.1%,9.6%,10.2%,0.5%,13.6%,70.1%,16.3%,14.3%,82.0,11.0,0.4,0.0,1.8,0.0,0.0,4.9,2.6,French Creole
Florida,12,3609,Broward County (part),1203609,28746,26.3,26.8,16.7,23.8,16.0%,36.1%,7.4%,53.3%,43.2%,3.5%,47.2%,52.8%,31.7%,51.2%,33.7%,43.3%,19.5%,1.3%,0.0%,1.3%,1.0%,6.2%,81.8%,0.6%,4.5%,2.9%,14.0%,19.3%,11.1%,10.8%,8.1%,3.0%,9.1%,67.0%,24.0%,14.6%,79.2,14.5,0.0,0.0,0.0,0.0,0.0,6.3,1.5,French
Florida,12,3610,Broward County (part),1203610,14585,10.7,11.5,15.5,12.2,19.4%,36.4%,16.5%,37.3%,38.2%,24.5%,50.6%,49.4%,40.7%,38.5%,48.1%,41.2%,3.7%,5.4%,0.0%,0.0%,1.6%,4.1%,76.8%,0.4%,2.7%,1.9%,20.6%,20.8%,5.4%,8.0%,6.0%,1.6%,7.7%,60.8%,31.5%,13.5%,74.5,20.2,1.7,0.0,0.3,0.0,0.0,3.2,1.3,French
Florida,12,3611,Broward County (part),1203611,22566,19.5,10.5,9.4,20.9,15.6%,41.5%,12.6%,42.1%,47.0%,10.9%,52.8%,47.2%,30.9%,26.7%,52.4%,22.1%,19.6%,4.8%,0.0%,0.0%,1.0%,4.0%,74.3%,0.0%,9.6%,8.1%,18.1%,14.1%,12.1%,12.0%,7.6%,0.5%,13.8%,66.8%,19.4%,18.4%,74.3,23.0,0.3,0.0,1.9,0.0,0.0,0.5,0.0,**
Florida,12,3612,Broward County (part),1203612,31791,23.4,24.3,10.8,16.0,14.8%,41.3%,17.0%,49.0%,44.9%,6.0%,50.5%,49.5%,35.8%,34.4%,35.4%,8.7%,47.8%,2.8%,0.0%,0.0%,5.2%,5.5%,82.5%,0.3%,6.6%,1.5%,19.4%,17.7%,15.5%,7.1%,8.1%,1.9%,11.5%,73.2%,15.2%,11.3%,75.0,17.5,0.0,0.0,1.0,0.0,0.0,6.5,4.7,French Creole
Florida,12,3613,Broward County (part),1203613,28331,30.9,22.2,13.7,15.5,17.0%,44.0%,9.7%,52.1%,41.3%,6.6%,44.8%,55.2%,25.9%,27.2%,39.1%,37.7%,20.1%,1.7%,0.0%,0.4%,1.0%,6.9%,77.6%,0.0%,6.6%,9.4%,14.2%,18.4%,9.9%,18.1%,4.7%,2.0%,10.3%,71.5%,18.2%,16.5%,75.5,19.8,0.3,0.0,0.0,0.0,1.3,3.1,1.9,French Creole
Florida,12,3701,Collier County (part),1203701,19612,22.4,17.9,7.2,14.8,10.7%,41.9%,25.3%,60.9%,35.6%,3.6%,52.3%,47.7%,34.6%,23.5%,14.3%,74.2%,9.2%,0.8%,0.0%,0.0%,1.4%,6.0%,66.8%,0.9%,22.9%,2.1%,7.5%,7.7%,8.6%,14.7%,6.4%,6.9%,11.6%,69.8%,18.6%,9.9%,87.3,5.4,0.0,0.0,0.0,0.0,1.0,6.2,6.2,French Creole
Florida,12,3702,Collier County (part),1203702,41190,31.7,26.4,19.0,15.0,15.4%,36.1%,14.6%,56.5%,37.8%,5.7%,61.4%,38.6%,28.5%,37.7%,55.9%,36.4%,6.4%,0.3%,0.0%,0.0%,1.0%,7.4%,72.7%,6.2%,8.0%,2.5%,10.9%,14.1%,6.3%,10.1%,6.5%,3.5%,25.7%,60.3%,14.0%,28.1%,63.4,35.1,0.0,0.0,0.3,0.0,0.0,1.2,1.2,French Creole
Florida,12,3800,Lee County (part),1203800,31000,24.7,32.1,12.6,16.9,10.1%,37.0%,23.4%,43.8%,41.6%,14.6%,52.1%,47.9%,39.1%,39.1%,15.5%,78.2%,3.5%,2.0%,0.0%,0.2%,0.6%,5.1%,71.1%,0.0%,15.3%,1.4%,13.6%,15.3%,11.8%,13.5%,8.3%,1.3%,9.5%,80.5%,10.0%,4.8%,91.8,5.7,0.0,0.0,1.7,0.2,0.0,0.6,0.0,**
Florida,12,3901,Lee County (part),1203901,23354,24.1,13.3,15.2,15.9,19.8%,35.6%,13.5%,50.3%,41.7%,8.0%,56.0%,44.0%,28.2%,31.9%,38.1%,54.8%,0.0%,6.1%,0.0%,0.0%,1.0%,5.1%,75.0%,1.6%,10.2%,1.1%,11.2%,16.8%,9.9%,16.0%,8.7%,1.1%,16.2%,76.6%,7.2%,19.0%,71.6,26.8,0.0,0.0,1.2,0.0,0.0,0.4,0.0,**
Florida,12,3902,Lee County (part),1203902,33529,23.2,27.6,19.9,17.5,18.4%,34.6%,9.6%,62.6%,34.6%,2.7%,55.5%,44.5%,32.2%,45.2%,22.3%,53.8%,19.4%,1.9%,0.0%,0.0%,2.5%,5.2%,73.1%,3.2%,11.0%,3.6%,16.5%,14.2%,7.8%,9.4%,2.9%,2.8%,21.8%,70.1%,8.1%,12.5%,86.5,9.8,0.0,0.0,0.0,0.0,0.0,3.7,3.3,French Creole
Florida,12,3903,Lee County (part),1203903,26944,29.9,24.9,12.8,20.8,16.9%,39.7%,9.7%,50.5%,43.3%,6.2%,55.6%,44.4%,28.0%,26.5%,33.4%,47.2%,17.1%,2.0%,0.0%,0.1%,0.1%,8.3%,72.1%,1.0%,11.3%,5.3%,17.3%,18.0%,9.4%,14.5%,3.2%,1.2%,20.7%,70.4%,8.9%,11.8%,80.0,14.4,0.0,0.0,0.0,0.0,0.2,5.4,1.1,Portuguese
Florida,12,4001,Miami-Dade County (part),1204001,23059,27.0,12.0,19.0,12.9,16.4%,34.2%,17.5%,55.8%,32.7%,11.5%,41.3%,58.7%,35.7%,48.3%,38.1%,21.8%,37.8%,2.0%,0.0%,0.0%,0.3%,5.8%,69.1%,0.0%,5.1%,2.0%,13.2%,17.5%,8.1%,8.9%,8.4%,2.9%,6.2%,81.8%,12.0%,14.2%,79.9,13.8,1.6,0.0,0.0,0.0,0.6,4.2,2.4,French Creole
Florida,12,4002,Miami-Dade County (part),1204002,28530,32.8,21.8,15.2,13.2,21.7%,40.5%,9.5%,64.1%,33.4%,2.5%,52.8%,47.2%,23.4%,37.8%,34.2%,1.6%,62.9%,0.0%,0.0%,0.0%,1.3%,3.1%,62.5%,0.0%,6.8%,3.1%,13.1%,14.8%,9.3%,7.0%,3.7%,10.9%,16.0%,73.7%,10.3%,13.5%,77.0,18.5,0.0,0.0,0.0,0.0,0.0,4.5,4.0,French Creole
Florida,12,4003,Miami-Dade County (part),1204003,39245,34.9,22.7,29.2,11.6,11.4%,37.4%,10.3%,43.4%,43.9%,12.7%,43.9%,56.1%,32.0%,54.2%,74.3%,10.9%,13.6%,0.3%,0.0%,0.0%,0.8%,5.7%,78.4%,0.1%,3.1%,8.5%,11.6%,9.8%,5.8%,8.0%,6.0%,5.7%,6.8%,62.0%,31.2%,23.1%,69.8,28.6,0.0,0.0,0.0,0.0,0.0,1.7,1.6,Arabic
Florida,12,4004,Miami-Dade County (part),1204004,36605,44.2,35.2,10.9,17.4,12.8%,44.1%,14.8%,47.8%,48.8%,3.4%,51.9%,48.1%,37.6%,35.3%,93.0%,5.3%,1.3%,0.2%,0.0%,0.0%,0.1%,4.3%,76.7%,0.2%,6.4%,8.6%,16.4%,14.8%,14.6%,4.8%,3.6%,2.9%,17.2%,66.7%,16.2%,34.4%,49.3,49.4,0.2,0.0,0.0,0.0,0.0,1.1,0.9,Arabic
Florida,12,4005,Miami-Dade County (part),1204005,34067,37.3,48.0,11.5,16.8,16.2%,39.8%,15.7%,69.3%,29.8%,0.9%,50.7%,49.3%,25.7%,33.8%,74.7%,6.2%,19.0%,0.0%,0.0%,0.0%,0.2%,5.3%,66.8%,0.0%,7.0%,4.7%,16.6%,8.9%,11.3%,11.1%,7.4%,5.2%,23.5%,69.3%,7.1%,37.9%,49.4,50.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,**
Florida,12,4006,Miami-Dade County (part),1204006,30930,38.2,43.4,13.3,22.2,19.2%,34.1%,11.2%,65.0%,32.0%,3.0%,51.2%,48.8%,22.6%,34.3%,33.3%,5.6%,59.9%,0.8%,0.0%,0.0%,0.4%,4.1%,72.4%,0.4%,9.7%,2.3%,16.0%,9.5%,11.5%,11.4%,6.5%,3.9%,22.5%,70.2%,7.4%,16.3%,71.1,18.5,0.0,0.0,0.0,0.0,0.0,10.4,10.2,French Creole
Florida,12,4007,Miami-Dade County (part),1204007,33501,34.0,24.3,17.5,17.5,17.7%,34.9%,12.5%,55.4%,38.9%,5.7%,54.5%,45.5%,24.6%,37.7%,24.8%,12.0%,61.2%,1.6%,0.0%,0.0%,0.4%,5.5%,78.3%,0.0%,4.7%,3.3%,13.7%,16.1%,10.5%,15.6%,7.0%,4.9%,18.7%,70.4%,10.9%,30.1%,62.4,11.0,0.5,0.3,0.0,0.0,0.0,25.8,22.5,French Creole
Florida,12,4008,Miami-Dade County (part),1204008,31968,32.4,30.4,8.5,11.9,25.4%,46.2%,7.9%,48.6%,41.2%,10.1%,59.2%,40.8%,19.4%,22.9%,61.5%,17.3%,19.0%,0.2%,0.0%,0.0%,2.0%,5.7%,77.7%,0.8%,9.0%,2.9%,18.6%,14.4%,8.3%,18.0%,8.0%,1.7%,15.7%,63.6%,20.7%,29.7%,58.0,33.5,0.1,0.0,0.0,0.0,0.3,8.1,5.0,French Creole
